,Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC,Added By,Added At,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Album Genres,Label,Copyrights,Album Release Year
1732,spotify:track:0ftGBKU81CcsYPU453BUaa,O.P.P.,spotify:artist:4Otx4bRLSfpah5kX8hdgDC,Naughty By Nature,spotify:album:4eKi4PJuybybkSbE6nNQnD,RnB Fridays,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,Various Artists,2015-10-30,https://i.scdn.co/image/ab67616d0000b273d029ad5d1a40fabfae0ac7f3,1,12,272200,,False,0,USAT20619496,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"east coast hip hop,hip hop,new jersey rap",0.856,0.91,4.0,-8.423,0.0,0.081,0.0308,7.87e-06,0.14,0.76,97.755,4.0,,Universal Music Australia Pty. Ltd.,"C © 2015 Universal Music Australia Pty Ltd., P This Compilation ℗ 2015 Universal Music Australia Pty Ltd.",2015
1733,spotify:track:2wWdwNwfYiI7bSCGYtq0Un,Light My Fire,spotify:artist:7K78lVZ8XzkjfRSI7570FF,José Feliciano,spotify:album:4BppvR0nLDQ3uh3b3NCu2R,Mis Favoritas,spotify:artist:7K78lVZ8XzkjfRSI7570FF,José Feliciano,2011-09-05,https://i.scdn.co/image/ab67616d0000b273f46832a71f85b950436d87b3,1,14,215133,https://p.scdn.co/mp3-preview/685e6befbf8a44f09a1b76c5528c973ef81a8d6a?cid=9950ac751e34487dbbe027c4fd7f8e99,False,44,USRC19405069,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"latin pop,puerto rican pop",0.479,0.546,4.0,-6.619,0.0,0.035,0.708,0.031,0.35,0.761,108.372,4.0,,Sony Music Latin,P Compilation (P) 2011 Sony Music Entertainment US Latin LLC,2011
1737,spotify:track:07Oz5StQ7GRoygNLaXs2pd,Good as Hell (feat. Ariana Grande) - Remix,"spotify:artist:56oDRnqbIiwx4mymNEv7dS, spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","Lizzo, Ariana Grande",spotify:album:1k1HuvFs562Z3CCiSYhtc1,Good as Hell (feat. Ariana Grande) [Remix],"spotify:artist:56oDRnqbIiwx4mymNEv7dS, spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","Lizzo, Ariana Grande",2016,https://i.scdn.co/image/ab67616d0000b27383689afe01c228ceeef579c5,1,1,159011,https://p.scdn.co/mp3-preview/d2fa400836011c983e5447560d45b024e5d8efc7?cid=9950ac751e34487dbbe027c4fd7f8e99,False,66,USAT21906086,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"escape room,minnesota hip hop,pop,trap queen,pop",0.668,0.892,5.0,-3.001,0.0,0.0645,0.298,0.0,0.735,0.478,95.927,4.0,,Nice Life/Atlantic,"C 2016 © 2019 Nice Life Recording Company and Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States., P 2016 ℗ 2019 Nice Life Recording Company and Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States.",2016
1738,spotify:track:0nlVsRpZgsOZi0BFfzHSL9,Love Really Hurts Without You,spotify:artist:5IDs1CK15HegSAhGEbSYXo,Billy Ocean,spotify:album:5ciu3GM6WiMGBOSbQKgc5z,Here You Are: The Best of Billy Ocean,spotify:artist:5IDs1CK15HegSAhGEbSYXo,Billy Ocean,2016-04-29,https://i.scdn.co/image/ab67616d0000b273f816e3458f3257843d8fbf6d,2,5,178933,,False,0,GBAHK9700121,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"disco,mellow gold,new romantic,new wave pop,soft rock,yacht rock",0.518,0.905,5.0,-3.846,1.0,0.034,0.00201,4.67e-06,0.095,0.96,140.989,4.0,,Sony Music CG,P This compilation (P) 2016 Leslie Charles under exclusive licence to Sony Music Entertainment UK Limited,2016
1739,spotify:track:2ENx9vLmbagrc0yDY1j0BN,Uptown Girl - Radio Edit,spotify:artist:5Z1CCuBsyhEHngq3U5IraY,Westlife,spotify:album:6DR9ciMOQiI7sSDp8iBYLw,World Of Our Own,spotify:artist:5Z1CCuBsyhEHngq3U5IraY,Westlife,2001-11-08,https://i.scdn.co/image/ab67616d0000b273735b334a6e20d873a6d72792,1,4,186000,,False,0,GBARL0100013,spotify:user:bradnumber1,2021-08-08T09:26:31Z,boy band,0.649,0.9,6.0,-5.81,0.0,0.0311,0.0108,0.000395,0.523,0.893,128.995,4.0,,RCA Records Label,P (P) 2001 BMG Entertainment International UK & Ireland Ltd.,2001
1741,spotify:track:6nHqns54LRqDNjeqKDF3v8,Glad You Came,spotify:artist:2NhdGz9EDv2FeUw6udu2g1,The Wanted,spotify:album:1ZdpJmpbaY2tMseayf4tVL,Battleground,spotify:artist:2NhdGz9EDv2FeUw6udu2g1,The Wanted,2011-01-01,https://i.scdn.co/image/ab67616d0000b273b49216c081b8de8f0b5a78d4,1,1,197935,,False,0,GBUM71104495,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"boy band,dance pop,pop,post-teen pop",0.562,0.857,7.0,-3.926,0.0,0.0801,0.0383,0.0,0.11,0.539,126.883,4.0,,Universal Music Group,"C © 2011 Global Talent Records Limited, under exclusive licence to Universal Island Records, a division of Universal Music Operations Limited, P ℗ 2011 Global Talent Records Limited, under exclusive licence to Universal Island Records, a division of Universal Music Operations Limited",2011
1742,spotify:track:262gSLgPEBJvowplt7WavQ,Can'T Touch It,spotify:artist:07lgEPGfoA4Lqos6YGYPDU,Ricki-Lee,spotify:album:0cXWcOhishaehiEhLIXnuB,Brand New Day,spotify:artist:07lgEPGfoA4Lqos6YGYPDU,Ricki-Lee,2007,https://i.scdn.co/image/4cfe6c7aa8a231436f2193d7cbd44b0b703224c9,1,6,178346,https://p.scdn.co/mp3-preview/52b9504eccb3c3492ee4b913dccf55ac0fe1cbc2?cid=9950ac751e34487dbbe027c4fd7f8e99,False,36,AUOY00700001,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"australian dance,australian pop,australian talent show",0.584,0.863,4.0,-3.707,0.0,0.194,0.000331,0.206,0.207,0.695,103.946,4.0,,Shock Entertainment,C 2007 Public Opinion Music Pty Ltd. under agreement with Shock Records,2007
1743,spotify:track:2EvwLVrnYbCZEG6Kx5DCRy,Piece of Me,spotify:artist:26dSoYclwsYLMAKD3tpOr4,Britney Spears,spotify:album:1ePkYcH5ZQCb1b4tQeiEDj,Blackout,spotify:artist:26dSoYclwsYLMAKD3tpOr4,Britney Spears,2007-10-25,https://i.scdn.co/image/ab67616d0000b273ca10fae7d292c52f7e8b11ca,1,2,212106,https://p.scdn.co/mp3-preview/e6bdf1063d11374cd1d63eb417b6bc88294e6fd4?cid=9950ac751e34487dbbe027c4fd7f8e99,False,67,USJI10700729,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"dance pop,pop",0.769,0.638,11.0,-5.054,1.0,0.216,0.0902,0.0,0.0857,0.782,115.007,4.0,,Jive,P (P) 2007 Zomba Recording LLC,2007
1745,spotify:track:7nkOH6CQX02HDuXKWYuh1I,Anywhere For You,spotify:artist:2auikkNYqigWStoHWK1Grq,John Martin,spotify:album:4TLtJYTNGu0GQTo5g7RrxI,Anywhere For You,spotify:artist:2auikkNYqigWStoHWK1Grq,John Martin,2014-01-01,https://i.scdn.co/image/ab67616d0000b273cc67a741edd97113145be81b,1,1,213928,,False,0,GBUM71400370,spotify:user:bradnumber1,2021-08-08T09:26:31Z,pop edm,0.533,0.913,3.0,-4.041,1.0,0.0663,0.0314,1.42e-06,0.104,0.336,128.022,4.0,,Universal Music Group,"C © 2014 Universal Island Records, a division of Universal Music Operations Limited, P ℗ 2014 Universal Island Records, a division of Universal Music Operations Limited",2014
1747,spotify:track:6rN6xdKMu0dWnsKNePZItp,Mother-in-Law - 2002 Remaster,spotify:artist:3ybBNyjii40yY104IZkcly,Ernie K-Doe,spotify:album:1ig0uPnSa1pB67M6TsI8Cg,Finger Poppin' And Stompin' Feet: 20 Classic Allen Toussaint Productions For Minit Records 1960-1962 (Remastered),spotify:artist:0LyfQWJT6nXafLPZqxe9Of,Various Artists,2002-01-01,https://i.scdn.co/image/ab67616d0000b2734f56ea0497fe2533c04573f9,1,2,153600,https://p.scdn.co/mp3-preview/e27f820a9b1e8fd2f5fdc79e3bd1049af69768d2?cid=9950ac751e34487dbbe027c4fd7f8e99,False,22,USEM30200033,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"louisiana blues,new orleans blues,new orleans funk,new orleans soul,rhythm and blues",0.747,0.631,7.0,-8.306,0.0,0.0409,0.713,0.00024,0.303,0.753,127.416,4.0,,Capitol Records,"C © 2002 Capitol Records, LLC, P This Compilation ℗ 2002 Capitol Records, LLC",2002
1749,spotify:track:33XaLfS6lcitzafRtG2sVg,Don't Waste Your Time,spotify:artist:3BmGtnKgCSGYIUhmivXKWX,Kelly Clarkson,spotify:album:4LgTmVlUlNWsfriBJ0jury,My December,spotify:artist:3BmGtnKgCSGYIUhmivXKWX,Kelly Clarkson,2007,https://i.scdn.co/image/ab67616d0000b2734ded83be3055a4884d131009,1,5,215293,https://p.scdn.co/mp3-preview/0d7b0a3b9df030aec12680b88155e8a5007614de?cid=9950ac751e34487dbbe027c4fd7f8e99,False,31,GBCTA0700099,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"dance pop,pop,talent show",0.56,0.927,4.0,-3.821,1.0,0.0471,0.00717,1.62e-06,0.113,0.545,121.938,4.0,,19 Recordings,P (P) 2007 19 Recordings Limited,2007
1752,spotify:track:0FDzzruyVECATHXKHFs9eJ,A Sky Full of Stars,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,Coldplay,spotify:album:2G4AUqfwxcV1UdQjm2ouYr,Ghost Stories,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,Coldplay,2014-05-19,https://i.scdn.co/image/ab67616d0000b273f864bcdcc245f06831d17ae0,1,8,267866,https://p.scdn.co/mp3-preview/870ebba9927cd7c73467fc5772f398a8a8999344?cid=9950ac751e34487dbbe027c4fd7f8e99,False,89,GBAYE1400217,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"permanent wave,pop",0.545,0.675,6.0,-6.474,1.0,0.0279,0.00617,0.00197,0.209,0.162,124.97,4.0,,Parlophone UK,"C © 2014 Parlophone Records Limited, a Warner Music Group Company., P ℗ 2014 Parlophone Records Limited, a Warner Music Group Company.",2014
1753,spotify:track:2ogKhhoMClkFXek7ZgxAhN,Shameless,spotify:artist:4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,spotify:album:3Vsbl0diFGw8HNSjG8ue9m,Romance,spotify:artist:4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,2019-12-06,https://i.scdn.co/image/ab67616d0000b2735f53c0dbe5190a0af0fa28f3,1,1,219742,https://p.scdn.co/mp3-preview/251fd51f331017b3bc8f3879be028ad75f91d6d0?cid=9950ac751e34487dbbe027c4fd7f8e99,False,86,USSM11905431,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"dance pop,pop",0.377,0.651,4.0,-5.437,0.0,0.0589,0.0197,5.31e-05,0.174,0.0851,129.607,4.0,,Syco Music/Epic,"P (P) 2019 Simco Ltd. under exclusive license to Epic Records, a division of Sony Music Entertainment",2019
1755,spotify:track:1pZdegOXTZ2ftINo3oUuRZ,Bedroom Floor,spotify:artist:5pUo3fmmHT8bhCyHE52hA6,Liam Payne,spotify:album:4x0Txj3eYM1NA857kGonzC,Bedroom Floor,spotify:artist:5pUo3fmmHT8bhCyHE52hA6,Liam Payne,2017-10-20,https://i.scdn.co/image/ab67616d0000b273cf0dd4aa0fcfdacdb3099a3d,1,1,188346,,False,0,GBUM71703786,spotify:user:bradnumber1,2021-08-08T09:26:31Z,pop,0.678,0.679,1.0,-7.093,1.0,0.0644,0.301,0.000136,0.112,0.218,119.977,4.0,,Universal Music Group,"C © 2017 Hampton Records Limited, under exclusive licence to Capitol Records, a division of Universal Music Operations Limited, P ℗ 2017 Hampton Records Limited, under exclusive licence to Capitol Records, a division of Universal Music Operations Limited",2017
1756,spotify:track:3WEmAizxrtQwXEJQRwCrK1,In2,spotify:artist:5nSAh3wlH7VaqpnkiMjzDs,WSTRN,spotify:album:2mCbEWwPFmDdcDDqtdy7yY,In2,spotify:artist:5nSAh3wlH7VaqpnkiMjzDs,WSTRN,2015-10-03,https://i.scdn.co/image/ab67616d0000b273c27d2e3e4988673d7930c456,1,1,242121,https://p.scdn.co/mp3-preview/7dc16851fd6492d87f8aade45cc0b62323522b4b?cid=9950ac751e34487dbbe027c4fd7f8e99,False,55,GBAHS1500457,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"afroswing,grime,uk hip hop",0.553,0.662,8.0,-6.454,0.0,0.129,0.342,0.0,0.141,0.561,98.368,4.0,,Atlantic Records UK,"C © 2015 Atlantic Records UK, a Warner Music Group Company, P ℗ 2015 Atlantic Records UK, a Warner Music Group Company",2015
1757,spotify:track:7rSQWMXrOoNajhAjZvOL3k,Rise & Fall,spotify:artist:07Q9n9pbwR6jQ8xH4SA46b,Justice Crew,spotify:album:4kc6vrABh87kQ4onFSDPLq,Live By The Words,spotify:artist:07Q9n9pbwR6jQ8xH4SA46b,Justice Crew,2012,https://i.scdn.co/image/ab67616d0000b2732ea0791fdc5445eb5a9cd4be,1,4,223360,https://p.scdn.co/mp3-preview/fd62dad815fa13d97c539201c76888937f474ecb?cid=9950ac751e34487dbbe027c4fd7f8e99,False,34,AUBM01400590,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"australian pop,australian talent show",0.576,0.94,11.0,-4.517,1.0,0.0579,0.0834,0.0,0.0526,0.552,98.022,4.0,,Sony Music Entertainment,P All tracks (P) 2014 Sony Music Entertainment Australia Pty Ltd. except tracks 6 & 8 (P) 2012 & track 10 (P) 2013 Sony Music Entertainment Australia Pty Ltd.,2012
1758,spotify:track:60mAZrH4y79jlSKGD6RoAl,Bitter Tears,spotify:artist:1eClJfHLoDI4rZe5HxzBFv,INXS,spotify:album:0JFOLMiRvHAZJD5AHrh6Am,X (Remastered),spotify:artist:1eClJfHLoDI4rZe5HxzBFv,INXS,2011-01-01,https://i.scdn.co/image/ab67616d0000b273d270fb51f9a16d09c6e25114,1,9,229306,,False,0,GBAMX9000012,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"australian rock,dance rock,funk rock,new romantic,new wave,rock",0.587,0.818,0.0,-5.193,1.0,0.0304,0.0109,2.62e-06,0.195,0.682,113.97,4.0,,Universal Music Group,"C © 2011 Petrolelectric Pty Ltd under exclusive licence to Universal International Music B.V., P ℗ 2011 Petrolelectric Pty Ltd under exclusive licence to Universal International Music B.V.",2011
1759,spotify:track:4ofwffwvvnbSkrMSCKQDaC,Shotgun,spotify:artist:2ysnwxxNtSgbb9t1m2Ur4j,George Ezra,spotify:album:2NaulYO6lGXTyIzWTJvRJj,Staying at Tamara's,spotify:artist:2ysnwxxNtSgbb9t1m2Ur4j,George Ezra,2018-03-23,https://i.scdn.co/image/ab67616d0000b273103045cd1c29dd16a469f808,1,4,201287,https://p.scdn.co/mp3-preview/3d87ba7cbe8d7c7499cf86e46f7665b2b63639fe?cid=9950ac751e34487dbbe027c4fd7f8e99,False,81,GBARL1701372,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"folk-pop,neo-singer-songwriter",0.673,0.735,5.0,-4.733,1.0,0.0457,0.286,0.0,0.242,0.754,115.744,4.0,,Columbia,P (P) 2018 Sony Music Entertainment UK Limited,2018
1761,spotify:track:0mIuRQsRez89DqQ1jXmske,Long Day,spotify:artist:3Ngh2zDBRPEriyxQDAMKd1,Matchbox Twenty,spotify:album:7GHROYaPxZr0dRMYQ7xHHu,The Matchbox Twenty Collection,spotify:artist:3Ngh2zDBRPEriyxQDAMKd1,Matchbox Twenty,2013-11-08,https://i.scdn.co/image/ab67616d0000b273a09220722ea0004d7da146a7,1,2,225666,https://p.scdn.co/mp3-preview/09fe3d69aa16e746c6c048d73b84105a22b5e07d?cid=9950ac751e34487dbbe027c4fd7f8e99,False,43,USAT29600050,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"neo mellow,pop rock,post-grunge",0.458,0.822,8.0,-6.613,0.0,0.0431,0.00279,0.0,0.15,0.6,104.103,4.0,,Emblem / Atlantic,"C © 2013 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company, P ℗ 2013 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company",2013
1764,spotify:track:3AJk0zltdY4XjD2be7a7ss,I Don't Wanna Be In Love (Dance Floor Anthem),spotify:artist:5aYyPjAsLj7UzANzdupwnS,Good Charlotte,spotify:album:02abrECBsxdR3Ywjy1hCuW,Greatest Hits,spotify:artist:5aYyPjAsLj7UzANzdupwnS,Good Charlotte,2010-11-12,https://i.scdn.co/image/ab67616d0000b273aabb9557204ead9f05752743,1,15,244146,https://p.scdn.co/mp3-preview/181c85fa212066c59cf6f8a6520f5112ba681bac?cid=9950ac751e34487dbbe027c4fd7f8e99,False,38,USSM10607447,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"alternative metal,modern rock,neon pop punk,pop punk,pop rock,post-grunge",0.642,0.875,6.0,-3.14,1.0,0.042,0.0233,0.0,0.19,0.556,124.946,4.0,,Epic/Legacy,"P (P) 2010 Epic Records, a division of Sony Music Entertainment",2010
1765,spotify:track:0gb1J5UrTpzaU1s3nupgCd,No Money,spotify:artist:4sTQVOfp9vEMCemLw50sbu,Galantis,spotify:album:2f7kOrpFos0njurSOi2zqL,No Money,spotify:artist:4sTQVOfp9vEMCemLw50sbu,Galantis,2016-04-01,https://i.scdn.co/image/ab67616d0000b273119cb56f073efd326643dcfe,1,1,189126,https://p.scdn.co/mp3-preview/90b6437cbba1d1546ae0e33fc9353a7dced375d4?cid=9950ac751e34487dbbe027c4fd7f8e99,False,71,USAT21600941,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"dance pop,edm,pop,pop dance",0.671,0.916,6.0,-4.014,0.0,0.0397,0.0282,0.00762,0.24,0.803,126.01,4.0,,Big Beat Records,"C © 2016 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company, P ℗ 2016 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company",2016
1766,spotify:track:55CHeLEfn5iJ0IIkgaa4si,Savage,spotify:artist:181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,spotify:album:6Lo6ylJg4qbFfxicPEOzMI,Suga,spotify:artist:181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,2020-03-06,https://i.scdn.co/image/ab67616d0000b27320fbc17fcb9376bc76a1b510,1,2,155497,https://p.scdn.co/mp3-preview/275028c7d76bb4b7136b0d98656f2b6a0d4b483f?cid=9950ac751e34487dbbe027c4fd7f8e99,True,71,QMCE32000097,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"houston rap,pop,rap,trap queen",0.843,0.741,11.0,-5.609,1.0,0.334,0.0252,0.0,0.096,0.68,168.983,4.0,,300 Entertainment,"C © 2020 1501 Certified Ent. LLC under exclusive license to 300 Entertainment, P ℗ 2020 1501 Certified Ent. LLC under exclusive license to 300 Entertainment",2020
1767,spotify:track:72vWmeqYcT1irKClpbenQm,"1, 2 Step (feat. Missy Elliott) - Main","spotify:artist:2NdeV5rLm47xAvogXrYhJX, spotify:artist:2wIVse2owClT7go1WT98tk","Ciara, Missy Elliott",spotify:album:7H6YocXhKJ46aWF0XoLCSS,Goodies,spotify:artist:2NdeV5rLm47xAvogXrYhJX,Ciara,2005-01-22,https://i.scdn.co/image/ab67616d0000b273802ffb408c9dc543d461f37a,1,2,202213,https://p.scdn.co/mp3-preview/3eae678dd869e893a641eb384b2953f36bf35831?cid=9950ac751e34487dbbe027c4fd7f8e99,False,56,USLF20400135,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"dance pop,hip pop,pop,r&b,urban contemporary,dance pop,hip hop,hip pop,neo soul,pop rap,r&b,rap,urban contemporary,virginia hip hop",0.939,0.498,5.0,-10.94,0.0,0.161,0.0444,0.00128,0.0475,0.801,113.053,4.0,,LaFace Records,P (P) 2004 LaFace Records LLC,2005
1768,spotify:track:2hKdd3qO7cWr2Jo0Bcs0MA,Drops of Jupiter (Tell Me),spotify:artist:3FUY2gzHeIiaesXtOAdB7A,Train,spotify:album:6j6Zgm7vzAZegr48UppFVT,Drops Of Jupiter,spotify:artist:3FUY2gzHeIiaesXtOAdB7A,Train,2001-03-27,https://i.scdn.co/image/ab67616d0000b273a65df73c4011b6a9357c89f0,1,3,259933,https://p.scdn.co/mp3-preview/77dba6a6b863572958909814c9fee6d29f310a45?cid=9950ac751e34487dbbe027c4fd7f8e99,False,82,USSM10019751,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"dance pop,neo mellow,pop,pop rock",0.481,0.638,0.0,-5.862,1.0,0.0276,0.153,0.0,0.154,0.497,79.064,4.0,,Columbia/Legacy,"P (P) 2000, 2001 Columbia Records, a division of Sony Music Entertainment",2001
1769,spotify:track:6cmm1LMvZdB5zsCwX5BjqE,Down,"spotify:artist:4pADjHPWyrlAF0FA7joK2H, spotify:artist:55Aa2cqylxrFIXC767Z865","Jay Sean, Lil Wayne",spotify:album:2H66HrVR1UeMlAoSXpxUnk,All Or Nothing,spotify:artist:4pADjHPWyrlAF0FA7joK2H,Jay Sean,2009-01-01,https://i.scdn.co/image/ab67616d0000b273e207a14471e5356294146e9d,1,1,212506,https://p.scdn.co/mp3-preview/0cab3b7809b74ed92a3261d443db74ce1a786b3f?cid=9950ac751e34487dbbe027c4fd7f8e99,False,82,USCM50900094,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"dance pop,pop,pop rap,hip hop,new orleans rap,pop rap,rap,trap",0.727,0.68,2.0,-4.498,1.0,0.0286,0.0101,0.0,0.0821,0.728,132.012,4.0,,Cash Money,"C © 2009 Cash Money Records Inc., P ℗ 2009 Cash Money Records Inc.",2009
1770,spotify:track:32PKQDEaouIIOlNZ5umoR6,No Diggity,"spotify:artist:5wwneIFdawNgQ7GvKK29Z3, spotify:artist:2P3cjUru4H3fhSXXNxE9kA","Lucas & Steve, Blackstreet",spotify:album:1x66drtf4CW5onOaeS0oz3,No Diggity,"spotify:artist:5wwneIFdawNgQ7GvKK29Z3, spotify:artist:2P3cjUru4H3fhSXXNxE9kA","Lucas & Steve, Blackstreet",2021-03-26,https://i.scdn.co/image/ab67616d0000b273988bc47878f332f34bcd2384,1,1,168727,https://p.scdn.co/mp3-preview/793139d26a94a37ee74778788bf5c91a841b6949?cid=9950ac751e34487dbbe027c4fd7f8e99,False,60,NLZ542100332,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"dutch house,edm,electro house,pop dance,progressive electro house,boy band,contemporary r&b,new jack swing,r&b,urban contemporary",0.74,0.709,6.0,-5.573,0.0,0.0674,0.0536,0.0,0.11,0.69,121.998,4.0,,Spinnin' Records,"C © 2021 SpinninRecords.com, P ℗ 2021 SpinninRecords.com",2021
1771,spotify:track:7HMmFQsKsljwTw8bS7lu19,Rare,spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,spotify:album:3YPFaTR7WMi1Hd4NVKdCJx,Rare,spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,2020-01-10,https://i.scdn.co/image/ab67616d0000b2732abcc266597eb46f897a8666,1,1,220589,https://p.scdn.co/mp3-preview/aa68ed6101eecbcf2a2d6722af7c09b9921277ef?cid=9950ac751e34487dbbe027c4fd7f8e99,False,66,USUM71923481,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"pop,post-teen pop",0.838,0.545,5.0,-6.713,1.0,0.0706,0.208,8.01e-05,0.103,0.631,114.998,4.0,,Interscope Records,"C © 2019 Interscope Records, P ℗ 2019 Interscope Records",2020
1773,spotify:track:5BZx0wikkFZF2BnaIo2qTy,Feel the Beat,spotify:artist:0LhHRmSd1EYM5QdNeNnCoQ,Darude,spotify:album:0Xks5v0dve8Gh2tRHIekjo,"Before the Storm, Special Edition",spotify:artist:0LhHRmSd1EYM5QdNeNnCoQ,Darude,2001-01-01,https://i.scdn.co/image/ab67616d0000b273f9ef39657ba18c612641ee6d,1,3,259200,https://p.scdn.co/mp3-preview/89d2869d0b278116ae29085ddbfadb8c80e7aae7?cid=9950ac751e34487dbbe027c4fd7f8e99,False,57,FISGC0000001,spotify:user:bradnumber1,2022-01-09T22:02:13Z,"eurodance,finnish edm",0.569,0.913,8.0,-6.973,1.0,0.0638,0.00618,0.834,0.287,0.504,137.822,4.0,,16 Inch Records,"C (C) 2008 16 Inch Records, P (P) 2000 16 Inch Records",2001
1774,spotify:track:2qUjP7g8WY3fzBCNTELwjy,Great Southern Land,spotify:artist:3IUisqn0mluZR0LITs8Sqk,ICEHOUSE,spotify:album:3UuP7QQWY6hXNiESqZei92,White Heat: 30 Hits,spotify:artist:3IUisqn0mluZR0LITs8Sqk,ICEHOUSE,2011-08-26,https://i.scdn.co/image/ab67616d0000b273c1e97e3b542ffb0713d1bd8d,1,6,317200,,False,0,AUC441100021,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"australian rock,new romantic,sophisti-pop,synthpop",0.717,0.837,9.0,-5.641,1.0,0.0278,0.244,0.000145,0.067,0.468,120.142,4.0,,Universal Music Group,"C © 2011 Diva Records, P ℗ 2011 Diva Records",2011
1775,spotify:track:1v2ECI79z8S4PQv9xYwIfU,Soak Up The Sun,spotify:artist:4TKTii6gnOnUXQHyuo9JaD,Sheryl Crow,spotify:album:5SPkapdx8WH82UhGPfeoc4,"C'mon, C'mon",spotify:artist:4TKTii6gnOnUXQHyuo9JaD,Sheryl Crow,2002-04-08,https://i.scdn.co/image/ab67616d0000b273b93fec763668e17c453b3491,1,2,292133,https://p.scdn.co/mp3-preview/bf75c3fadb6ed4c441966d8f3f7f183a442a2c2a?cid=9950ac751e34487dbbe027c4fd7f8e99,False,57,USAM10200011,spotify:user:bradnumber1,2021-11-11T04:18:33Z,"lilith,new wave pop,permanent wave,pop rock,singer-songwriter",0.711,0.735,4.0,-5.026,1.0,0.0432,0.0378,0.0,0.107,0.698,119.974,4.0,,A&M,"C © 2002 A&M Records, P ℗ 2002 Interscope Geffen (A&M) Records A Division of UMG Recordings Inc.",2002
1776,spotify:track:4hy4fb5D1KL50b3sng9cjw,Smells Like Teen Spirit,spotify:artist:6olE6TJLqED3rqDCT0FyPh,Nirvana,spotify:album:3SBQfBKAPWvCr4qse1uNis,Nirvana (International Version),spotify:artist:6olE6TJLqED3rqDCT0FyPh,Nirvana,2002-01-01,https://i.scdn.co/image/ab67616d0000b273f118d2074e050cbc2e4533a0,1,5,300826,,False,0,USGF19942501,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"grunge,permanent wave,rock",0.48,0.875,1.0,-5.898,1.0,0.0429,1.62e-05,0.000751,0.103,0.826,116.754,4.0,,Universal Music Group,"C © 2002 Geffen Records Inc., P ℗ 2002 Interscope Geffen (A&M) Records A Division of UMG Recordings Inc.",2002
